columna,"CUADRO 11 - Nacimientos por área y sexo, según departamento de residencia de la madre y pertenencia étnico-racial del nacido vivo",columna_1,columna_2,columna_3,columna_4,columna_5,columna_6,columna_7,columna_8,columna_9,columna_10,columna_11,columna_12,columna_13,columna_14,columna_15,columna_16,columna_17,año,tipo,hoja_origen
66.0,,Ninguno de las anteriores,3390,1731,1659,0,1459,1411,0,86,67,0,186,181,0,0,0,0,2025,nacimientos,Cuadro11
66.0,,Sin información,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025,nacimientos,Cuadro11
68.0,68 Santander,Total,10513,5421,5092,0,4223,3999,0,181,152,0,1017,941,0,0,0,0,2025,nacimientos,Cuadro11
68.0,,Indígena,13,10,3,0,7,2,0,0,1,0,3,0,0,0,0,0,2025,nacimientos,Cuadro11
68.0,,Rom (Gitano),2,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,2025,nacimientos,Cuadro11
68.0,,Raizal del archipiélago de San Andrés y Providencia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025,nacimientos,Cuadro11
68.0,,Palenquero de San Basilio,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2025,nacimientos,Cuadro11
68.0,,"Negro(a), mulato(a), afrocolombiano(a) o afrodescendiente",14,10,4,0,8,4,0,0,0,0,2,0,0,0,0,0,2025,nacimientos,Cuadro11
68.0,,Ninguno de las anteriores,10483,5399,5084,0,4206,3992,0,181,151,0,1012,941,0,0,0,0,2025,nacimientos,Cuadro11
68.0,,Sin información,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025,nacimientos,Cuadro11
70.0,70 Sucre,Total,5065,2550,2515,0,1687,1716,0,414,373,0,449,426,0,0,0,0,2025,nacimientos,Cuadro11
70.0,,Indígena,93,45,48,0,23,12,0,8,13,0,14,23,0,0,0,0,2025,nacimientos,Cuadro11
70.0,,Rom (Gitano),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025,nacimientos,Cuadro11
70.0,,Raizal del archipiélago de San Andrés y Providencia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025,nacimientos,Cuadro11
70.0,,Palenquero de San Basilio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025,nacimientos,Cuadro11
70.0,,"Negro(a), mulato(a), afrocolombiano(a) o afrodescendiente",132,68,64,0,50,42,0,11,14,0,7,8,0,0,0,0,2025,nacimientos,Cuadro11
70.0,,Ninguno de las anteriores,4840,2437,2403,0,1614,1662,0,395,346,0,428,395,0,0,0,0,2025,nacimientos,Cuadro11
70.0,,Sin información,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025,nacimientos,Cuadro11
73.0,73 Tolima,Total,6379,3270,3108,1,2327,2189,0,160,164,0,783,755,1,0,0,0,2025,nacimientos,Cuadro11
73.0,,Indígena,55,28,27,0,2,3,0,5,5,0,21,19,0,0,0,0,2025,nacimientos,Cuadro11
